Alberta,Medicine Hat,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,161","$287,500.00"
Manitoba,Winnipeg,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,1 bedroom,2 bathrooms,"1,150","$120,000.00"
Ontario,Windsor Region,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,2 bathrooms,"1,125","$119,900.00"
Ontario,Toronto (GTA),City of Toronto,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,2 bathrooms,"1,125","$119,900.00"
Ontario,Windsor Region,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,2 bathrooms,"1,125","$119,900.00"
Alberta,Medicine Hat,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,2 bathrooms,"1,117","$255,500.00"
Alberta,Medicine Hat,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,2 bathrooms,"1,117","$255,500.00"
Alberta,Medicine Hat,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,2 bathrooms,"1,117","$255,500.00"
Ontario,Guelph,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,105","$599,905.00"
Alberta,Edmonton Area,Edmonton,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,100","$220,000.00"
Ontario,St. Catharines,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,1 bathroom,"1,100","$465,000.00"
Ontario,St. Catharines,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,1 bathroom,"1,100","$465,000.00"
Newfoundland,Gander,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,1 bathroom,"1,080","$164,900.00"
Alberta,Calgary,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,1 bathroom,"1,080","$174,900.00"
Alberta,Red Deer,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,2 bathrooms,"1,066","$325,000.00"
Ontario,Guelph,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,057","$549,900.00"
Alberta,Edmonton Area,Edmonton,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,050","$380,000.00"
Alberta,Edmonton Area,Edmonton,Real Estate,For Sale,Houses for Sale in Campbell River,5 bedrooms,3 bathrooms,"1,044","$369,000.00"
Ontario,North Bay,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,000","$223,000.00"
Alberta,Calgary,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,000","$399,900.00"
Ontario,Toronto (GTA),City of Toronto,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,1 bathroom,"1,000","$399,900.00"
Ontario,Toronto (GTA),City of Toronto,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,2 bathrooms,"1,000","$579,900.00"
Ontario,Toronto (GTA),City of Toronto,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,1 bathroom,"1,000","$599,000.00"
Alberta,Calgary,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,1 bathroom,970,"$109,000.00"
Saskatchewan,Saskatoon,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,1 bathroom,952,"$39,800.00"
Saskatchewan,Saskatoon,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,1 bathroom,952,"$39,800.00"
Ontario,Timmins,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,1 bathroom,952,"$294,900.00"
